,ID,Country of Origin,COO MCA,Norm COO MCA,Altitude,Grading Date,Variety,Variety MCA,Norm Variety MCA,Processing Method,PM MCA,Norm PM MCA,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Color MCA,Norm Color MCA,Category Two Defects,Expiration
136,136,Laos,1.238043939,0.273652741,1200 - 1300,"December 30th, 2022",Catimor,0.895600323,0.233799156,Natural / Dry,-0.138185131,0.160972318,7.67,7.75,7.33,7.67,7.58,7.5,10,10,10,7.58,0,83.08,11.8,0,0,brownish,-0.284013478,0.160102595,7,"December 30th, 2023"
137,137,Honduras,-0.062636942,0.088928015,1368,"May 23rd, 2022",Catuai,-0.078764482,0.165158311,Washed / Wet,-0.086084584,0.164642633,7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.58,0,83.08,10.6,0,2,green,-0.087578899,0.244254406,7,"May 23rd, 2023"
138,138,Honduras,-0.062636942,0.088928015,1450,"April 25th, 2023",Catuai,-0.078764482,0.165158311,Washed / Wet,-0.086084584,0.164642633,7.75,7.58,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.08,9.6,0,0,green,-0.087578899,0.244254406,2,"April 24th, 2024"
139,139,Colombia,-0.609228788,0.011300189,1650,"January 13th, 2023",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,8,7.67,7.42,7.58,7.58,7.42,10,10,10,7.33,0,83,13.1,0,0,bluish-green,0.479854331,0.4873406,1,"January 13th, 2024"
140,140,Taiwan,0.088575404,0.110403428,250-300,"January 6th, 2023",Typica,-0.055630776,0.166788006,Pulped natural / honey,0.254806228,0.188657286,7.5,7.67,7.58,7.58,7.5,7.5,10,10,10,7.58,0,82.92,8.9,0,0,blue-green,1.676549112,1,0,"January 6th, 2024"
141,141,Mexico,-0.129282997,0.079462838,1350,"August 11th, 2022",Bourbon,-0.116081184,0.16252947,Washed / Wet,-0.086084584,0.164642633,7.75,7.5,7.42,7.67,7.58,7.5,10,10,10,7.5,0,82.92,11.9,2,0,green,-0.087578899,0.244254406,1,"August 11th, 2023"
142,142,Colombia,-0.609228788,0.011300189,1350,"June 16th, 2022",Typica Gesha,-0.477392801,0.137076237,Washed / Wet,-0.086084584,0.164642633,7.58,7.5,7.5,7.67,7.58,7.5,10,10,10,7.58,0,82.92,11.5,0,1,greenish,-0.401085207,0.109949521,3,"June 16th, 2023"
143,143,Taiwan,0.088575404,0.110403428,1200,"October 24th, 2022",Gesha,-0.055903236,0.166768812,,#N/A,#N/A,7.67,7.5,7.42,7.75,7.42,7.58,10,10,10,7.58,0,82.92,10.2,0,0,yellow-green,-0.397042519,0.111681392,0,"October 24th, 2023"
144,144,Honduras,-0.062636942,0.088928015,1280,"April 24th, 2023",Catuai,-0.078764482,0.165158311,Washed / Wet,-0.086084584,0.164642633,7.67,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0,82.83,10,0,0,green,-0.087578899,0.244254406,4,"April 23rd, 2024"
145,145,Thailand,0.381786564,0.152045734,1300-1500,"July 14th, 2022",Gayo,-0.118583262,0.162353207,Washed / Wet,-0.086084584,0.164642633,7.17,7.92,7.58,7.5,7.58,7.67,10,10,10,7.42,0,82.83,11.8,0,0,yellow-green,-0.397042519,0.111681392,5,"July 14th, 2023"
146,146,Vietnam,0.533654173,0.173614208,900,"June 3rd, 2022",Catimor,0.895600323,0.233799156,Pulped natural / honey,0.254806228,0.188657286,7.58,7.42,7.58,7.5,7.67,7.75,10,10,10,7.33,0,82.83,13.3,0,0,green,-0.087578899,0.244254406,4,"June 3rd, 2023"
147,147,Nicaragua,-0.346576325,0.048602501,1200,"January 30th, 2023",SHG,-0.276591204,0.151222059,Natural / Dry,-0.138185131,0.160972318,7.33,7.58,7.25,7.33,7.75,8.17,10,10,10,7.33,0,82.75,10.5,5,2,green,-0.087578899,0.244254406,1,"January 30th, 2024"
148,148,Costa Rica,-0.231922843,0.064885767,1450,"November 15th, 2022",SL28,-0.145428702,0.160462033,Pulped natural / honey,0.254806228,0.188657286,7.33,7.5,7.25,7.92,7.75,7.58,10,10,10,7.42,0,82.75,11.8,0,0,pale yellow,-0.380830108,0.118626726,1,"November 15th, 2023"
149,149,Colombia,-0.609228788,0.011300189,1700,"July 11th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.58,7.67,7.58,7.5,7.33,7.5,10,10,10,7.5,0,82.67,11.8,0,1,green,-0.087578899,0.244254406,2,"July 11th, 2023"
150,150,Thailand,0.381786564,0.152045734,1200 - 1580,"July 14th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.33,7.58,7.58,7.5,7.67,7.67,10,10,10,7.33,0,82.67,13,1,0,greenish,-0.401085207,0.109949521,0,"July 14th, 2023"
151,151,Thailand,0.381786564,0.152045734,1200,"June 14th, 2022","Bourbon, Catimor, Caturra, Typica",0.059172612,0.174875533,Natural / Dry,-0.138185131,0.160972318,7.5,7.58,7.5,7.42,7.5,7.58,10,10,10,7.58,0,82.67,11.2,0,0,yellow green,-0.365774684,0.125076412,0,"June 14th, 2023"
152,152,Honduras,-0.062636942,0.088928015,1450,"April 25th, 2023",Catuai,-0.078764482,0.165158311,Washed / Wet,-0.086084584,0.164642633,7.67,7.58,7.33,7.5,7.58,7.5,10,10,10,7.5,0,82.67,9.6,0,0,green,-0.087578899,0.244254406,2,"April 24th, 2024"
153,153,Taiwan,0.088575404,0.110403428,165,"January 6th, 2023",unknow,-0.152787872,0.159943603,Natural / Dry,-0.138185131,0.160972318,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.5,0,82.58,9.8,0,0,green,-0.087578899,0.244254406,0,"January 6th, 2024"
154,154,Taiwan,0.088575404,0.110403428,465,"January 6th, 2023",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.67,7.58,7.42,7.42,7.5,7.5,10,10,10,7.5,0,82.58,8.4,0,0,blue-green,1.676549112,1,2,"January 6th, 2024"
155,155,Nicaragua,-0.346576325,0.048602501,1350,"June 20th, 2022",Parainema,-0.494835043,0.135847488,Washed / Wet,-0.086084584,0.164642633,7.5,7.58,7.42,7.58,7.5,7.58,10,10,10,7.42,0,82.58,10.1,0,0,green,-0.087578899,0.244254406,0,"June 20th, 2023"
156,156,El Salvador,0.11491458,0.114144158,1200,"March 3rd, 2023",Bourbon,-0.116081184,0.16252947,Washed / Wet,-0.086084584,0.164642633,7.67,7.33,7.17,7.67,7.83,7.5,10,10,10,7.33,0,82.5,11.3,0,0,green,-0.087578899,0.244254406,2,"March 2nd, 2024"
157,157,Panama,-0.198170259,0.069679362,1200,"May 25th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.75,7.67,7.17,7.67,7.42,7.42,10,10,10,7.42,0,82.5,10,0,0,green,-0.087578899,0.244254406,0,"May 25th, 2023"
158,158,Brazil,-0.463411937,0.032009325,1100,"November 3rd, 2022",Mundo Novo,-0.5361984,0.132933573,Natural / Dry,-0.138185131,0.160972318,7.5,7.58,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,11.8,0,1,bluish-green,0.479854331,0.4873406,1,"November 3rd, 2023"
159,159,United States (Hawaii),-0.110030412,0.08219712,640,"November 15th, 2022",Maragogype,0.343870323,0.194931564,Washed / Wet,-0.086084584,0.164642633,7.33,7.58,7.5,7.5,7.5,7.58,10,10,10,7.5,0,82.5,11.7,0,0,blue-green,1.676549112,1,1,"November 15th, 2023"
160,160,Mexico,-0.129282997,0.079462838,1340,"November 15th, 2022",Pacamara,-0.207960839,0.156056846,Washed / Wet,-0.086084584,0.164642633,7.67,7.42,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,10.7,0,0,pale yellow,-0.380830108,0.118626726,0,"November 15th, 2023"
161,161,Honduras,-0.062636942,0.088928015,1368,"May 23rd, 2022",Catuai,-0.078764482,0.165158311,Washed / Wet,-0.086084584,0.164642633,7.58,7.58,7.33,7.5,7.58,7.42,10,10,10,7.5,0,82.5,10.6,0,0,green,-0.087578899,0.244254406,8,"May 23rd, 2023"
162,162,Taiwan,0.088575404,0.110403428,139,"January 6th, 2023",unknown,0.164925101,0.182325453,Washed / Wet,-0.086084584,0.164642633,7.42,7.42,7.58,7.42,7.58,7.5,10,10,10,7.58,0,82.5,8.4,0,0,green,-0.087578899,0.244254406,2,"January 6th, 2024"
163,163,Nicaragua,-0.346576325,0.048602501,1200-1350,"December 30th, 2022",Caturra-Catuai,-0.050102429,0.16717746,Washed / Wet,-0.086084584,0.164642633,7.58,7.58,7.42,7.42,7.5,7.5,10,10,10,7.42,0,82.42,11.4,0,0,bluish-green,0.479854331,0.4873406,0,"December 30th, 2023"
164,164,Vietnam,0.533654173,0.173614208,1040,"June 1st, 2022",Catimor,0.895600323,0.233799156,Washed / Wet,-0.086084584,0.164642633,7.5,7.5,7.33,7.5,7.5,7.42,10,10,10,7.58,0,82.33,10.5,0,0,bluish-green,0.479854331,0.4873406,0,"June 1st, 2023"
165,165,El Salvador,0.11491458,0.114144158,1200,"February 21st, 2023",Bourbon,-0.116081184,0.16252947,Washed / Wet,-0.086084584,0.164642633,7.5,7.5,7.42,7.42,7.42,7.67,10,10,10,7.42,0,82.33,12,0,7,green,-0.087578899,0.244254406,10,"February 21st, 2024"
166,166,El Salvador,0.11491458,0.114144158,1200,"July 7th, 2022",Bourbon,-0.116081184,0.16252947,Washed / Wet,-0.086084584,0.164642633,7.33,7.67,7.25,7.67,7.83,7.42,10,10,10,7.17,0,82.33,11.8,0,0,bluish-green,0.479854331,0.4873406,0,"July 7th, 2023"
167,167,Taiwan,0.088575404,0.110403428,140,"January 6th, 2023",unknown,0.164925101,0.182325453,Natural / Dry,-0.138185131,0.160972318,7.67,7.58,7.42,7.5,7.33,7.42,10,10,10,7.42,0,82.33,10.8,0,0,green,-0.087578899,0.244254406,1,"January 6th, 2024"
168,168,Peru,-0.640025321,0.006926417,1600,"July 11th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.67,7.5,7.33,7.58,7.33,7.42,10,10,10,7.42,0,82.25,11.7,0,1,greenish,-0.401085207,0.109949521,3,"July 11th, 2023"
169,169,United States (Hawaii),-0.110030412,0.08219712,1200,"November 9th, 2022",Typica,-0.055630776,0.166788006,Washed / Wet,-0.086084584,0.164642633,7.75,7.42,7.33,7.5,7.33,7.5,10,10,10,7.33,0,82.17,10.6,1,0,green,-0.087578899,0.244254406,5,"November 9th, 2023"
170,170,Kenya,0.032075834,0.102379271,1500-1950,"April 7th, 2023","SL28,SL34,Ruiru11",0.184105564,0.183676655,Washed / Wet,-0.086084584,0.164642633,7.5,7.5,7.42,7.5,7.25,7.5,10,10,10,7.5,0,82.17,11.2,0,0,green,-0.087578899,0.244254406,2,"April 6th, 2024"
171,171,Honduras,-0.062636942,0.088928015,1368,"May 23rd, 2022",Catuai,-0.078764482,0.165158311,Washed / Wet,-0.086084584,0.164642633,7.67,7.5,7.25,7.5,7.5,7.33,10,10,10,7.42,0,82.17,10.6,0,0,green,-0.087578899,0.244254406,8,"May 23rd, 2023"
172,172,Taiwan,0.088575404,0.110403428,600,"January 6th, 2023",unknown,0.164925101,0.182325453,Washed / Wet,-0.086084584,0.164642633,7.5,7.67,7.33,7.5,7.25,7.33,10,10,10,7.5,0,82.08,9.7,0,0,bluish-green,0.479854331,0.4873406,0,"January 6th, 2024"
173,173,Taiwan,0.088575404,0.110403428,460,"January 6th, 2023",unknown,0.164925101,0.182325453,Pulped natural / honey,0.254806228,0.188657286,7.33,7.42,7.42,7.5,7.42,7.5,10,10,10,7.5,0,82.08,8.1,0,0,greenish,-0.401085207,0.109949521,3,"January 6th, 2024"
174,174,Taiwan,0.088575404,0.110403428,500,"January 6th, 2023",unknown,0.164925101,0.182325453,Washed / Wet,-0.086084584,0.164642633,7.5,7.58,7.42,7.42,7.25,7.42,10,10,10,7.42,0,82,8.2,0,0,green,-0.087578899,0.244254406,1,"January 6th, 2024"
175,175,Thailand,0.381786564,0.152045734,800-1200,"July 14th, 2022",Catimor,0.895600323,0.233799156,Washed / Wet,-0.086084584,0.164642633,7.17,7.5,7.42,7.42,7.58,7.5,10,10,10,7.42,0,82,9.8,0,0,green,-0.087578899,0.244254406,0,"July 14th, 2023"
176,176,Costa Rica,-0.231922843,0.064885767,1500,"March 29th, 2023",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,0,82,10.5,1,2,green,-0.087578899,0.244254406,8,"March 28th, 2024"
177,177,Guatemala,-0.116351185,0.081299434,1350-1550,"November 28th, 2022",,#N/A,#N/A,Washed / Wet,-0.086084584,0.164642633,7.42,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0,82,11.5,0,1,blue-green,1.676549112,1,2,"November 28th, 2023"
178,178,Indonesia,6.352389013,1,1350,"August 22nd, 2022",,#N/A,#N/A,Pulped natural / honey,0.254806228,0.188657286,7.67,7.33,7.25,7.67,7.42,7.25,10,10,10,7.42,0,82,12.5,0,0,bluish-green,0.479854331,0.4873406,0,"August 22nd, 2023"
179,179,Peru,-0.640025321,0.006926417,1600,"July 11th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.5,7.5,7.33,7.5,7.33,7.33,10,10,10,7.42,0,81.92,11.6,0,2,greenish,-0.401085207,0.109949521,2,"July 11th, 2023"
180,180,Guatemala,-0.116351185,0.081299434,1200~1600,"November 3rd, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.33,7.42,7.33,7.42,7.58,7.42,10,10,10,7.42,0,81.92,10.3,0,0,greenish,-0.401085207,0.109949521,1,"November 3rd, 2023"
181,181,Taiwan,0.088575404,0.110403428,300,"January 6th, 2023",Typica,-0.055630776,0.166788006,Pulped natural / honey,0.254806228,0.188657286,7.25,7.42,7.42,7.5,7.42,7.42,10,10,10,7.42,0,81.83,11.3,0,0,green,-0.087578899,0.244254406,0,"January 6th, 2024"
182,182,Vietnam,0.533654173,0.173614208,5400,"April 10th, 2023",Catimor,0.895600323,0.233799156,Pulped natural / honey,0.254806228,0.188657286,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.33,0,81.83,11.2,0,0,green,-0.087578899,0.244254406,4,"April 9th, 2024"
183,183,Brazil,-0.463411937,0.032009325,1000,"April 7th, 2023",Yellow Catuai,-0.427207631,0.14061162,Pulped natural / honey,0.254806228,0.188657286,7.5,7.5,7.42,7.33,7.33,7.33,10,10,10,7.42,0,81.83,11.3,0,0,pale yellow,-0.380830108,0.118626726,2,"April 6th, 2024"
184,184,Brazil,-0.463411937,0.032009325,900-1000,"December 30th, 2022",Catucai,-0.923895809,0.105621547,Natural / Dry,-0.138185131,0.160972318,7.42,7.5,7.58,7.33,7.33,7.25,10,10,10,7.33,0,81.75,11.1,0,0,yellow-green,-0.397042519,0.111681392,0,"December 30th, 2023"
185,185,Colombia,-0.609228788,0.011300189,1574,"December 30th, 2022",Santander,-0.730523335,0.119244011,Washed / Wet,-0.086084584,0.164642633,7.33,7.5,7.33,7.42,7.42,7.42,10,10,10,7.33,0,81.75,11.2,0,0,yellow-green,-0.397042519,0.111681392,0,"December 30th, 2023"
186,186,Mexico,-0.129282997,0.079462838,1200,"August 11th, 2022",Typica,-0.055630776,0.166788006,Washed / Wet,-0.086084584,0.164642633,7.58,7.42,7.25,7.25,7.5,7.33,10,10,10,7.33,0,81.67,11.8,2,0,green,-0.087578899,0.244254406,2,"August 11th, 2023"
187,187,Costa Rica,-0.231922843,0.064885767,1200,"March 29th, 2023",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,0,81.58,9.7,0,2,green,-0.087578899,0.244254406,4,"March 28th, 2024"
188,188,Taiwan,0.088575404,0.110403428,300,"January 6th, 2023",Typica,-0.055630776,0.166788006,Pulped natural / honey,0.254806228,0.188657286,7.42,7.5,7.33,7.33,7.33,7.33,10,10,10,7.33,0,81.58,9,0,0,yellow-green,-0.397042519,0.111681392,0,"January 6th, 2024"
189,189,Taiwan,0.088575404,0.110403428,435,"January 6th, 2023",unknown,0.164925101,0.182325453,Pulped natural / honey,0.254806228,0.188657286,7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,0,81.5,8.5,0,0,green,-0.087578899,0.244254406,0,"January 6th, 2024"
190,190,Thailand,0.381786564,0.152045734,1300-1500,"July 14th, 2022",Java,1.170974179,0.253198352,Washed / Wet,-0.086084584,0.164642633,7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,0,81.42,11.6,2,0,green,-0.087578899,0.244254406,1,"July 14th, 2023"
191,191,Thailand,0.381786564,0.152045734,1400,"November 15th, 2022",Typica Bourbon Caturra Catimor,1.137750829,0.250857875,Natural / Dry,-0.138185131,0.160972318,7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,0,81.33,10.5,0,0,yellowish,1.209311462,0.799837204,5,"November 15th, 2023"
192,192,Thailand,0.381786564,0.152045734,600-800,"July 14th, 2022",Catimor,0.895600323,0.233799156,Washed / Wet,-0.086084584,0.164642633,7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,0,81.17,10.4,0,0,green,-0.087578899,0.244254406,0,"July 14th, 2023"
193,193,Colombia,-0.609228788,0.011300189,1300-1800,"December 22nd, 2022","Caturra,Colombia,Castillo",-0.650460174,0.124884201,Washed / Wet,-0.086084584,0.164642633,7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,0,81.17,11.4,0,2,greenish,-0.401085207,0.109949521,2,"December 22nd, 2023"
194,194,Brazil,-0.463411937,0.032009325,1200,"April 17th, 2023",,#N/A,#N/A,Natural / Dry,-0.138185131,0.160972318,7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,0,81,10.6,0,2,greenish,-0.401085207,0.109949521,1,"April 16th, 2024"
195,195,El Salvador,0.11491458,0.114144158,1400,"March 8th, 2023",Bourbon,-0.116081184,0.16252947,Natural / Dry,-0.138185131,0.160972318,7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,80.83,10.5,0,8,bluish-green,0.479854331,0.4873406,7,"March 7th, 2024"
196,196,Nicaragua,-0.346576325,0.048602501,1100,"July 11th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,0,80.5,11.5,0,1,greenish,-0.401085207,0.109949521,3,"July 11th, 2023"
197,197,Nicaragua,-0.346576325,0.048602501,1000,"April 20th, 2023",Sarchimor,-0.081795848,0.164944761,Washed / Wet,-0.086084584,0.164642633,7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,0,80.42,11.2,0,0,green,-0.087578899,0.244254406,5,"April 19th, 2024"
198,198,Colombia,-0.609228788,0.011300189,1600,"March 6th, 2023","Castillo,Caturra,Bourbon",-0.776484124,0.116006222,Washed / Wet,-0.086084584,0.164642633,7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,0,80.42,11,0,3,greenish,-0.401085207,0.109949521,3,"March 5th, 2024"
199,199,Peru,-0.640025321,0.006926417,1600,"June 10th, 2022",Caturra,-0.303127998,0.149352628,Washed / Wet,-0.086084584,0.164642633,7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,0,80.33,11.8,0,6,greenish,-0.401085207,0.109949521,11,"June 10th, 2023"
200,200,El Salvador,0.11491458,0.114144158,1300,"March 8th, 2023",Pacas,0.470237785,0.203833743,Natural / Dry,-0.138185131,0.160972318,7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,80.33,11.5,0,10,bluish-green,0.479854331,0.4873406,7,"March 7th, 2024"
201,201,Brazil,-0.463411937,0.032009325,1200,"July 20th, 2022",Catuai and Mundo Novo,-0.514376717,0.13447084,Natural / Dry,-0.138185131,0.160972318,7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,0,80.17,11.6,0,1,greenish,-0.401085207,0.109949521,2,"July 20th, 2023"
202,202,Brazil,-0.463411937,0.032009325,950,"February 2nd, 2023",Mundo Novo,-0.5361984,0.132933573,Natural / Dry,-0.138185131,0.160972318,7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,80.08,11.4,0,0,green,-0.087578899,0.244254406,4,"February 2nd, 2024"
203,203,Nicaragua,-0.346576325,0.048602501,1200,"March 3rd, 2023",SHG,-0.276591204,0.151222059,Natural / Dry,-0.138185131,0.160972318,7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,0,80,10.4,0,2,green,-0.087578899,0.244254406,12,"March 2nd, 2024"
204,204,Laos,1.238043939,0.273652741,1300,"November 11th, 2022",Catimor,0.895600323,0.233799156,Washed / Wet,-0.086084584,0.164642633,7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,0,79.67,11.6,0,9,green,-0.087578899,0.244254406,11,"November 11th, 2023"
205,205,El Salvador,0.11491458,0.114144158,1200,"March 8th, 2023",Maragogype,0.343870323,0.194931564,Natural / Dry,-0.138185131,0.160972318,6.5,6.75,6.75,7.17,7.08,7,10,10,10,6.83,0,78.08,11,0,12,bluish-green,0.479854331,0.4873406,13,"March 7th, 2024"
206,206,Brazil,-0.463411937,0.032009325,850-1100,"November 18th, 2022",Mundo Novo,-0.5361984,0.132933573,SEMI-LAVADO,-0.838580971,0.1116317,7.25,7.08,6.67,6.83,6.83,6.67,10,10,10,6.67,0,78,11.3,0,0,green,-0.087578899,0.244254406,1,"November 18th, 2023"
